"","var","SEGMENT","CHANNEL","para","var_group","model_var","model_name_group"
"421","SELCO","TRADE","TRADE_COUNTER",-0.00210759058,"SELCO","SALES","sales"
"422","SPON_TV_SKY_2","TRADE","TRADE_COUNTER",0.00080920506,"SPON_TV_SKY","SALES","sales"
"423","TOOL_1","TRADE","TRADE_COUNTER",-0.00074062836,"TOOLSTATION","SALES","sales"
"424","DDROP","TRADE","WEB",0.00013476884,"DOOR_DROP","SALES","sales"
"425","DDROP_1","TRADE","WEB",0.00151139847866936,"DOOR_DROP","SALES","sales"
"426","NAT_PRESS_1","TRADE","WEB",0.00028262674,"NATIONAL_PRESS","SALES","sales"
"427","NAT_RADIO_1","TRADE","WEB",0.00013961664,"NATIONAL_RADIO","SALES","sales"
"428","PS_BG_IMPS","TRADE","WEB",0.0344048366,"paid_search","SALES","sales"
"429","SPON_TV_SKY","TRADE","WEB",0.0001769447,"SPON_TV_SKY","SALES","sales"
"430","PR_CLIP","TRADE","WEB",0.0044626491,"PR","SALES","sales"
"431","REG_PRESS_3","TRADE","WEB",0.0024197103,"REGIONAL_PRESS","SALES","sales"
"432","SELCO","TRADE","WEB",-0.0038598147,"SELCO","SALES","sales"
"433","SPON_TV_SKY_1","TRADE","WEB",0.00307696725,"SPON_TV_SKY","SALES","sales"
"434","SPON_TV_SKY_2","TRADE","WEB",0.0014819679,"SPON_TV_SKY","SALES","sales"
"435","TOOL_1","TRADE","WEB",-0.0013563774,"TOOLSTATION","SALES","sales"
"436","DDROP_3","TRADE","WEB",0.000540352926561105,"DOOR_DROP","SALES","sales"
"437","DM7","TRADE","WEB",0.00396881662485735,"DIRECT_MAIL","SALES","sales"
"438","TV_ITV5","TRADE","WEB",0.00204692453592165,"SPON_TV_ITV","SALES","sales"
"439","TV_SKY2_3","TRADE","WEB",0.00212801833014435,"SPON_TV_SKY","SALES","sales"
